,pid,rank,name,link,points_moved,tourneys_played,points_losing,points_gaining
211,da86,211,Joris De Loore,/en/players/joris-de-loore/da86/overview,-7,21,16,-
212,pc11,212,Guido Pella,/en/players/guido-pella/pc11/overview,-,11,-,-
213,hc21,213,Seongchan Hong,/en/players/seongchan-hong/hc21/overview,-30,26,16,-
214,ph78,214,Ryan Peniston,/en/players/ryan-peniston/ph78/overview,-9,28,-,-
215,gb53,215,Federico Gaio,/en/players/federico-gaio/gb53/overview,-16,26,-,-
216,o482,216,Goncalo Oliveira,/en/players/goncalo-oliveira/o482/overview,-,37,-,-
217,db59,217,Dennis Novak,/en/players/dennis-novak/db59/overview,+6,23,-,-
218,df88,218,Aziz Dougaz,/en/players/aziz-dougaz/df88/overview,-,36,11,7
219,hb48,219,Calvin Hemery,/en/players/calvin-hemery/hb48/overview,-,25,-,-
220,ta29,220,Marco Trungelliti,/en/players/marco-trungelliti/ta29/overview,-,29,7,5
221,r975,221,Milos Raonic,/en/players/milos-raonic/r975/overview,-,8,-,-
222,t09x,222,Clement Tabur,/en/players/clement-tabur/t09x/overview,-5,27,-,-
223,kc04,223,Jozef Kovalik,/en/players/jozef-kovalik/kc04/overview,+12,23,-,-
224,p0ct,224,Francesco Passaro,/en/players/francesco-passaro/p0ct/overview,-,26,10,-
225,j553,225,Omar Jasika,/en/players/omar-jasika/j553/overview,-,28,-,-
226,me89,226,Illya Marchenko,/en/players/illya-marchenko/me89/overview,-,22,2,-
227,n0cs,227,Lukas Neumayer,/en/players/lukas-neumayer/n0cs/overview,+3,33,-,-
228,s0nv,228,Abdullah Shelbayh,/en/players/abdullah-shelbayh/s0nv/overview,-,29,-,-
229,m0if,229,Francesco Maestrelli,/en/players/francesco-maestrelli/m0if/overview,+22,30,20,-
230,cg94,230,Enzo Couacaud,/en/players/enzo-couacaud/cg94/overview,+14,18,-,-
231,kc33,231,Dimitar Kuzmanov,/en/players/dimitar-kuzmanov/kc33/overview,-14,23,9,-
232,g983,232,Alessandro Giannessi,/en/players/alessandro-giannessi/g983/overview,-,30,-,-
233,h09f,233,Yu Hsiou Hsu,/en/players/yu-hsiou-hsu/h09f/overview,-9,20,-,-
234,y268,234,Mikael Ymer,/en/players/mikael-ymer/y268/overview,-45,14,45,-
235,kh56,235,Zdenek Kolar,/en/players/zdenek-kolar/kh56/overview,-16,33,-,-
236,w857,236,Tung-Lin Wu,/en/players/tung-lin-wu/w857/overview,+7,22,-,-
237,s0n0,237,Tristan Schoolkate,/en/players/tristan-schoolkate/s0n0/overview,+5,32,25,2
